DELTA,10,20,40,80,160
1,0.22,0.07,0.0,0.0,0.0
2,0.34,0.1,0.03,0.0,0.0
3,0.58,0.55,0.38,0.22,0.22
4,0.82,0.92,0.97,0.98,1.0
5,0.96,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
