cluster,y_k=2,s_k=2,y_k=3,s_k=3,y_k=4,s_k=4,y_k=5,s_k=5
0,1.0,0.9155742011201256,0.0,0.9144055145380766,2.0,0.518704532938882,0.0,0.5496759516808339
0,1.0,0.9067457596540549,0.0,0.9056789183158217,0.0,0.3676007072698135,4.0,0.5497881606886043
0,1.0,0.9363200843928035,0.0,0.9353429525691238,0.0,0.35493532192191696,2.0,0.35617519920976565
0,1.0,0.9303255163062589,0.0,0.9292296769950359,2.0,0.43401243303772086,2.0,0.15642587208349076
0,1.0,0.9218170877299545,0.0,0.9208465930067494,2.0,0.4022734170719809,0.0,0.5181880371729677
0,1.0,0.9356582474544433,0.0,0.93463704001544,2.0,0.04194376814862846,2.0,0.5365412827949155
0,1.0,0.9298269338431552,0.0,0.9288213964908295,0.0,0.5245593142192276,4.0,0.32792350414818056
0,1.0,0.9326607647177048,0.0,0.9317781881196809,0.0,0.4613307453508844,4.0,0.6203518925254592
0,1.0,0.9282126120604368,0.0,0.927117217010066,2.0,0.5092862751847775,0.0,0.20981302840559324
0,1.0,0.9106324452034104,0.0,0.9096217366774548,0.0,0.2703506874882423,4.0,0.4504198203300484
0,1.0,0.9430369716903194,0.0,0.9422507848930309,2.0,0.3731644707563033,0.0,0.4493719970947064
0,1.0,0.9096484295617143,0.0,0.9085036326299257,0.0,0.4966443112866974,4.0,0.5943072474941532
0,1.0,0.9164926074182865,0.0,0.9151800825835109,0.0,0.47912042576099884,2.0,0.21308412130117585
0,1.0,0.9148094712080719,0.0,0.9133776477658858,2.0,0.31676053260199166,2.0,0.38915934128262464
0,1.0,0.9173765514682463,0.0,0.9161376122275574,2.0,0.5139535243113732,0.0,0.3539007192137996
0,1.0,0.9377922780896922,0.0,0.9369583824343456,2.0,0.45113331456907424,0.0,0.5641055085380974
0,1.0,0.9453632649297804,0.0,0.9446031984702935,2.0,0.16142149337804107,0.0,0.1868651154655546
0,1.0,0.9259408912972805,0.0,0.9249911017528091,0.0,0.48295852501677705,4.0,0.6476959196580048
0,1.0,0.9050004360362307,0.0,0.90341599867701,0.0,0.3995708217605294,2.0,0.37811605439054863
0,1.0,0.9113153651801981,0.0,0.9099589821489102,0.0,0.505102307369955,4.0,0.01787971274841148
