cluster,y_k=2,s_k=2
0,-1.0,-0.5165676054293262
0,-1.0,-0.44329968591880003
0,1.0,0.6259874541946324
0,-1.0,-0.6608465651581956
0,-1.0,-0.6281071116880865
0,1.0,0.604282928282101
0,-1.0,-0.24593840206699244
0,-1.0,-0.4665228591703211
0,-1.0,-0.37365148354116884
0,-1.0,-0.2220398911299704
0,-1.0,-0.3543178949979806
0,1.0,0.6738384437274856
0,-1.0,-0.29084456543752385
0,-1.0,-0.3334375909918227
0,1.0,0.4349724252134968
0,-1.0,-0.48648147071851977
0,-1.0,-0.10757078594732347
0,-1.0,-0.4459051298136826
0,-1.0,-0.5616354146630302
0,0.0,0.5869390335105823
0,-1.0,-0.39847002988126023
0,-1.0,-0.15091990866075453
0,-1.0,-0.169540338599446
0,1.0,0.6914437531515976
0,-1.0,-0.5182577607808727
0,-1.0,-0.5364742538016098
0,-1.0,-0.25104818754057057
0,-1.0,-0.329722307634066
0,-1.0,-0.5915436992082503
0,-1.0,-0.3873300255982363
0,-1.0,-0.33683932046409015
0,-1.0,-0.31421693177303306
0,-1.0,-0.05069444487201083
0,-1.0,-0.4412723887549491
0,-1.0,-0.5000354689131695
0,-1.0,-0.6380434799108529
0,1.0,0.6296381411065102
0,-1.0,-0.5986608864214887
0,0.0,0.41733602759104305
0,-1.0,-0.5161982791208211
0,-1.0,-0.49616020637593033
0,-1.0,-0.2163101615204444
0,0.0,0.2997574794741728
0,-1.0,-0.4222870570055407
0,-1.0,-0.345309096432158
0,-1.0,-0.4905932604573491
0,-1.0,-0.17522214945211184
0,1.0,0.6851128994406961
0,1.0,0.6349383232862476
0,-1.0,-0.3767493229097878
0,-1.0,-0.16626803051440822
0,1.0,0.7118019895567863
0,1.0,0.6986594149289773
0,-1.0,-0.6417578256144022
0,1.0,0.6698349039318521
0,-1.0,-0.13122259265666517
0,-1.0,-0.49367950053754334
0,-1.0,-0.24318750273218465
0,-1.0,-0.22236739189960866
0,-1.0,-0.3016727019909852
0,-1.0,-0.26170645687565924
0,-1.0,-0.09874395201385763
0,-1.0,-0.5326155212962962
0,-1.0,-0.06837362311156901
0,-1.0,-0.19900603161959948
0,-1.0,-0.24541220960512916
0,-1.0,-0.05283287563703019
