cluster,y_k=2,s_k=2
0,-1.0,-0.41602509674684857
0,-1.0,-0.6625373838174634
0,0.0,0.7098408025679596
0,-1.0,-0.45494596545735133
0,1.0,0.28861105966296263
0,-1.0,-0.5513301939770539
0,0.0,0.7079911752515166
0,-1.0,-0.5957787402613625
0,0.0,0.7195711237963651
0,-1.0,-0.24756778213901895
0,0.0,0.6817139411550082
0,0.0,0.67234452923017
0,0.0,0.6098305001956026
0,-1.0,-0.47433174425331215
0,0.0,0.7130243553466338
0,-1.0,-0.43658125512276347
0,-1.0,0.04094362342314105
0,-1.0,-0.3635729690887929
0,1.0,0.401233719638536
0,-1.0,-0.09615279251309872
0,-1.0,-0.12065871794054356
0,0.0,0.540464622209642
0,1.0,0.4623727722046131
0,1.0,0.38219092815034805
0,0.0,0.44492762296446414
0,-1.0,-0.280382238906541
0,1.0,0.42419783839519815
0,-1.0,-0.3209475317289977
0,-1.0,-0.5424499532531373
0,1.0,0.40281214627904194
0,1.0,0.4047333885350239
0,-1.0,-0.5233235155621953
0,-1.0,-0.4441254998797441
0,-1.0,-0.3425903557115708
0,-1.0,-0.20265860165579083
0,-1.0,-0.4466683114440256
0,-1.0,-0.09616195236844856
0,0.0,0.7080722351310542
0,-1.0,-0.24075781473977687
0,0.0,0.6639459462947154
0,-1.0,-0.5285531988914425
0,-1.0,-0.13905485785754804
0,-1.0,-0.6871810183705936
0,0.0,0.6994369091851421
0,-1.0,-0.663841892589992
0,-1.0,-0.28052507693657003
0,-1.0,-0.5910505387360853
0,-1.0,-0.6980862482349643
0,-1.0,-0.1550928662753528
0,1.0,0.3008403959828955
0,-1.0,-0.6387175159130917
0,-1.0,-0.4061344706697889
0,-1.0,-0.6031880567640611
0,-1.0,-0.3716511391973762
0,-1.0,-0.27910777326423036
0,1.0,0.4823684361428081
0,0.0,0.3486771544724368
0,-1.0,-0.29505410666707815
0,0.0,0.6344882712007763
0,-1.0,-0.3994161189667754
0,0.0,0.7107350200359521
0,1.0,-0.11545884343042562
0,-1.0,-0.4337014198900419
0,-1.0,-0.03692095603842513
0,-1.0,-0.7017534272662233
0,-1.0,-0.5330176384979651
0,-1.0,-0.2501071545166933
0,-1.0,-0.15707511440165306
0,-1.0,-0.1576074455800153
0,0.0,0.5607889985303077
0,1.0,0.4099882710760082
0,0.0,0.6576200951088826
0,0.0,0.6944492739737717
0,-1.0,-0.15659450648921153
0,-1.0,-0.4249967180845242
0,-1.0,-0.6464864137542827
0,-1.0,-0.27197052649410064
0,-1.0,-0.2926227260876795
0,1.0,0.24124209026291943
0,-1.0,-0.3633835266385643
0,-1.0,-0.10091558629814096
0,-1.0,0.007923620873669143
0,-1.0,-0.668286399399468
0,0.0,0.7014643056945425
0,0.0,0.7079687856066795
0,1.0,0.34197107913519526
0,-1.0,-0.598899597583377
0,-1.0,-0.5580337438475
0,0.0,0.690947879664145
0,1.0,0.29153783629270114
0,1.0,0.30209360563721094
0,0.0,0.6620922411008662
0,0.0,0.5774097987055695
0,-1.0,-0.25057292531557956
0,-1.0,-0.46627621319689627
0,-1.0,-0.35932301675630773
0,-1.0,-0.15242094894708966
0,-1.0,-0.6634497067494673
0,0.0,0.5949231206574814
0,-1.0,0.022085411913617528
0,0.0,0.6126267346414982
0,-1.0,-0.5896418796873109
0,-1.0,0.010346883826039323
0,-1.0,-0.572294835314189
0,-1.0,-0.6568756143230867
0,-1.0,-0.586243770323478
0,-1.0,-0.30798381492842425
0,-1.0,-0.5128605355063799
0,1.0,0.45485177779087105
0,1.0,-0.18866920039118684
0,1.0,0.32323910694643343
0,1.0,0.3957899340686855
0,-1.0,-0.06484431173847126
0,-1.0,-0.38905901413571087
0,0.0,0.6671679090476668
0,-1.0,-0.35211580513765295
0,-1.0,-0.6869242683565548
0,0.0,0.6421520077483509
0,-1.0,-0.4464788200802104
0,-1.0,-0.4755152631075738
0,0.0,0.7291053058045889
0,-1.0,-0.004827310687492782
0,0.0,0.721144380838696
0,-1.0,-0.407294786308981
0,-1.0,-0.6049219198928423
0,0.0,0.6908352220362631
0,1.0,0.36103389232703836
0,-1.0,-0.4051341785806512
0,-1.0,-0.6514567990764114
0,-1.0,-0.4568383621728657
0,-1.0,-0.24249273730000173
0,0.0,0.7353654561035586
0,-1.0,-0.6622794468686204
0,-1.0,-0.009481945503615061
0,-1.0,-0.2360718210373786
0,0.0,0.6778229462070222
0,-1.0,-0.06095550746815205
0,-1.0,-0.4870535759020456
0,0.0,0.6927389252785746
0,0.0,0.6371954493203922
0,1.0,0.29137184053467713
0,-1.0,-0.16035992555921588
0,1.0,0.3689106507121337
0,-1.0,-0.5153301345733651
0,-1.0,-0.6121298790668319
0,0.0,0.70540498183919
0,-1.0,-0.45183519011439194
0,-1.0,-0.39108767347102064
0,-1.0,-0.19280288976503568
0,1.0,0.3238164059028517
0,1.0,0.13281992025852024
0,0.0,0.72190189118209
0,0.0,0.4903664477852458
0,-1.0,-0.1313459908106564
0,1.0,0.3394914940012939
0,-1.0,-0.21981397655977608
0,-1.0,-0.13800057750088532
0,-1.0,-0.48609121955317086
0,-1.0,-0.2852279782981608
0,-1.0,-0.19514601266366804
0,1.0,0.38449734113698
0,-1.0,-0.540883137749867
0,-1.0,-0.48517155107356846
0,-1.0,-0.41276893087845196
0,-1.0,-0.4796079828073231
0,-1.0,-0.16450448223404224
0,-1.0,-0.1977841119969256
0,-1.0,-0.11993816050955895
0,0.0,0.6797828407072655
0,-1.0,-0.6336576272809203
0,-1.0,-0.32272215684998246
0,-1.0,-0.14019605916510025
0,0.0,0.6986690470316601
0,0.0,0.5603794523674377
0,-1.0,-0.0019574200880333667
0,0.0,0.6962237343027851
0,-1.0,-0.27785536152005824
0,1.0,0.2812782071770865
