cluster,y_k=2,s_k=2,y_k=3,s_k=3,y_k=4,s_k=4,y_k=5,s_k=5
0,1.0,0.30897079857659226,0.0,0.45583183449545994,0.0,0.564998877544222,4.0,0.3874707989655202
0,1.0,0.15119334537161835,0.0,0.25967586582177005,0.0,0.5620761124569461,4.0,0.5527102625905939
0,0.0,0.5189868526696519,2.0,0.4318380825582491,2.0,0.40709899155131907,0.0,0.18265769108012492
0,1.0,0.27373376160700524,1.0,0.280584963868694,3.0,0.16133086783432868,2.0,0.30729864021391623
0,1.0,0.32132677989535163,1.0,0.4348566765474489,3.0,0.19451757287038804,2.0,0.5330219590111444
0,1.0,0.5276891757603103,0.0,0.42975923534961163,3.0,0.4557374196871152,1.0,0.5379527627791929
0,1.0,0.09451662068374969,1.0,0.2701270765221896,1.0,0.08181469925338206,2.0,0.11003507180817006
0,0.0,0.3826107995779563,2.0,0.5072255084882447,2.0,0.35588105665970093,0.0,0.3467582041285226
0,1.0,0.5086380017613528,0.0,0.2584982075292024,3.0,0.54564646164832,1.0,0.3475999162501492
0,0.0,0.4992684916095647,2.0,0.2826009761707605,2.0,0.1886198304823976,3.0,0.15951906597377863
0,0.0,0.4054731864956678,2.0,0.5357323015238612,2.0,0.39173098468601725,0.0,0.3651796583398822
0,0.0,0.4458541109580088,2.0,0.49972640170039434,2.0,0.5025828943482187,0.0,0.4432515433841959
0,1.0,0.0925254367334094,1.0,0.5783882799170336,1.0,0.338207736467053,2.0,0.3825701016134773
0,0.0,0.28387680492481704,1.0,0.47221431480012666,1.0,0.5893443270957538,3.0,0.37537548130875675
0,1.0,0.39628053799889223,0.0,0.516937676208218,0.0,0.29704953459722083,1.0,0.052965155693433345
0,1.0,0.30118281139348385,1.0,0.4794519821252275,3.0,0.11192905971324583,2.0,0.5722749493486655
0,0.0,0.23655927057714768,1.0,0.5033057474428877,1.0,0.5935015799988075,3.0,0.26376080636521343
0,1.0,0.03462703535201348,1.0,0.10403472678888413,1.0,0.04991170526526696,3.0,0.024358030131823114
0,1.0,0.49387637995065575,0.0,0.3445457012190014,3.0,0.46529253996169967,1.0,0.44178179799849643
0,0.0,0.3833849593243425,2.0,0.4718293720447208,2.0,0.379171290433473,0.0,0.3184323123062839
0,1.0,0.27011009921131823,0.0,0.2662699757347544,3.0,0.005806443553823697,1.0,0.08983566808816729
0,0.0,0.3241816749827897,1.0,0.3998379037235359,1.0,0.5429932068749346,3.0,0.46068785338698137
0,0.0,0.47838561686128456,2.0,0.28093776687024496,2.0,0.20511496360111775,3.0,0.0885568291058718
0,0.0,0.24503910192915462,2.0,0.3176439360010655,2.0,0.07341513601667439,4.0,0.02771041432425066
0,1.0,0.18901824091582722,0.0,0.30927480779163385,0.0,0.5795874833582222,4.0,0.5279271878445988
0,0.0,0.005816760329263993,0.0,0.033910338851027004,0.0,0.45462337390623053,4.0,0.5088102133425044
0,0.0,0.286388614498333,1.0,0.41727966991669313,1.0,0.5282441182454983,3.0,0.3595028588690754
0,0.0,0.503126075091611,2.0,0.5542201847083978,2.0,0.5701164503760309,0.0,0.5060271720520877
0,1.0,0.5079593228641691,0.0,0.5784853974647359,3.0,0.07226220952278423,1.0,0.49674052018856957
0,1.0,0.33880404200394765,1.0,0.44853714817975976,3.0,0.219459200772746,2.0,0.5582992375627565
0,0.0,0.3545717521765226,2.0,0.03137557653210799,1.0,0.12985998289665987,3.0,0.3278375269529343
0,1.0,0.49393888466132846,0.0,0.5735088379024019,3.0,0.02814184622427932,1.0,0.47090888648176155
0,1.0,0.45134466229432774,1.0,0.1762248657691087,3.0,0.505724957869135,2.0,0.24785952131458588
0,0.0,0.4390495395003726,2.0,0.47613501434000943,2.0,0.43996603162721465,0.0,0.3061994933255425
0,0.0,0.5110906100658531,2.0,0.47837327985385053,2.0,0.47516575428115115,0.0,0.32940703422579815
0,1.0,0.37087183402159674,0.0,0.5261300581275845,0.0,0.524523018210744,4.0,0.24595216612072018
0,1.0,0.22999228035703284,0.0,0.365543687062362,0.0,0.5975239683437951,4.0,0.4894199242335699
0,1.0,0.19615981073515326,1.0,0.100308757923365,3.0,0.11192753286996544,2.0,0.09617195889946031
0,0.0,0.34399664456171536,2.0,0.3418925396325147,2.0,0.2705264815837744,0.0,0.10691260433788091
0,0.0,0.4822213391846756,2.0,0.204780998937638,2.0,0.07665153428416857,3.0,0.2550033770840873
0,1.0,0.26748231240133274,1.0,0.4649362665127274,3.0,0.04772735372851251,2.0,0.5132357211618278
0,0.0,0.06854686453364946,1.0,0.5781962818163581,1.0,0.4989564347886568,2.0,0.1635941637412092
0,1.0,0.34387093010332004,1.0,0.40414155006007596,3.0,0.24731240876516716,2.0,0.49760328272090604
0,0.0,0.477695953124865,2.0,0.08596951946182131,1.0,0.11036608108330427,3.0,0.41105311401754463
0,1.0,0.28807074982940045,1.0,0.5010034200137836,3.0,0.06373111155587018,2.0,0.5854930621351703
0,0.0,0.45917593918349214,2.0,0.5389514222958358,2.0,0.5149758731770954,0.0,0.4306049312414846
0,1.0,0.1559003044495713,1.0,0.516848085756493,1.0,0.18995804094449245,2.0,0.44099104263980343
0,1.0,0.2795221613452699,0.0,0.3176872552133563,0.0,0.05568526324544591,1.0,0.058249780780120754
0,0.0,0.4847985226045514,2.0,0.4177905469431055,2.0,0.39997576986912786,0.0,0.23532670421530602
0,1.0,0.486376202664573,0.0,0.43132619507849135,3.0,0.3441850428977537,1.0,0.5115519420686285
0,0.0,0.2491119352737096,2.0,0.036573787216356866,1.0,0.08037567911052465,3.0,0.22544020173102342
0,1.0,0.4614848981372087,0.0,0.30284911204258946,3.0,0.42075081947578813,1.0,0.37535482660558744
0,0.0,0.5161351248463273,2.0,0.5481960039048949,2.0,0.5494398800055775,0.0,0.4398792670505105
0,1.0,0.5070144610599711,0.0,0.3012222046040328,3.0,0.5307420645090414,1.0,0.4080050690168359
0,1.0,0.4228610165355186,0.0,0.57175479851282,0.0,0.4118236112864599,1.0,0.03099518128719281
0,0.0,0.47877987123837357,2.0,0.4252768267991489,2.0,0.374683227666187,0.0,0.1532676460681855
0,0.0,0.5138511947628237,2.0,0.3083008948223046,2.0,0.21193936995137097,3.0,0.16325292722185838
0,0.0,0.027221056503140748,1.0,0.5914527227012457,1.0,0.47286013614419165,2.0,0.24299163859045633
0,0.0,0.48246202287501777,2.0,0.3701823308477647,2.0,0.33509728898238544,0.0,0.12290082840228875
0,0.0,0.10490215139177475,2.0,0.12198009487738004,0.0,0.36267629840219917,4.0,0.43979712615254246
0,0.0,0.523136658038927,2.0,0.5351673525563068,2.0,0.535412808188115,0.0,0.4082917429288565
0,1.0,0.42665701545633716,0.0,0.5712445621682396,0.0,0.3755778474684959,1.0,0.09362325005866803
0,0.0,0.4116876591706519,2.0,0.5446264641033348,2.0,0.4171039928829026,0.0,0.41351929843557467
0,1.0,0.41138368684652626,0.0,0.42268225314596,3.0,0.08013123350090239,1.0,0.29448493959059185
0,0.0,0.4769356360543777,2.0,0.5766593079181037,2.0,0.5710005972989194,0.0,0.5608142946841069
0,0.0,0.37480596379677855,1.0,0.233500020685221,1.0,0.4088319099293222,3.0,0.5187587038825497
0,0.0,0.27478930769306137,1.0,0.2770237819109827,1.0,0.4026230048964226,3.0,0.36803372019186625
0,1.0,0.32407252432581346,0.0,0.4505560193789757,0.0,0.412445089478547,4.0,0.13926859325803784
0,0.0,0.04017376825821984,1.0,0.5887010290950299,1.0,0.484370663313939,2.0,0.19503265230997555
0,0.0,0.12756940371701928,2.0,0.15441004271179684,2.0,0.027509647195572504,4.0,0.05458515824745176
0,0.0,0.176995746855251,2.0,0.23491542133338883,0.0,0.19563798145630026,4.0,0.2978633741247173
0,0.0,0.3703879972732366,2.0,0.4757635036734813,2.0,0.332926382571798,0.0,0.27301368318966146
0,0.0,0.16873038138045435,2.0,0.22219458522683883,0.0,0.18527803602252532,4.0,0.28521079555158624
0,0.0,0.1451211752644029,1.0,0.3015979225699005,1.0,0.3633112167781081,3.0,0.18103063602511965
0,1.0,0.11452382238010697,0.0,0.16415065029446937,0.0,0.33769293258257527,4.0,0.29650534494280656
0,1.0,0.38081279684936614,0.0,0.40025537993919036,3.0,0.03174011050347921,1.0,0.23002317188536045
0,0.0,0.3580037012215819,2.0,0.4840761304603207,2.0,0.2563752704889785,0.0,0.2030365461240724
0,0.0,0.10350556094329626,1.0,0.5522888424602899,1.0,0.5057316057037144,2.0,0.07766063614048863
0,0.0,0.14746127198901246,2.0,0.18039415783336907,2.0,0.02860776520780839,4.0,0.05781598326495567
0,1.0,0.4574937464654494,1.0,0.16194647862867897,3.0,0.5202340176208604,2.0,0.23037225362882113
0,0.0,0.47608807130332365,2.0,0.6036453097513023,2.0,0.557196104754209,0.0,0.560486870656994
0,1.0,0.3856487481099909,1.0,0.18829455775728127,3.0,0.3949578196104313,2.0,0.23997909272366558
0,1.0,0.34437179434537163,0.0,0.16285915785611654,3.0,0.27136827103258615,1.0,0.16470408118610014
0,0.0,0.23062005898254778,2.0,0.31420369101859524,0.0,0.1291544635038783,4.0,0.23985262490182635
0,1.0,0.3405352424473149,0.0,0.4478578048008822,0.0,0.31102667596164313,4.0,0.062040146935175296
0,1.0,0.496667826766094,0.0,0.5607759146700418,3.0,0.09050250152568103,1.0,0.49334942839363116
0,1.0,0.25513949673744457,0.0,0.32276332396147295,0.0,0.2070253097696881,4.0,0.07355855649597011
0,1.0,0.31506657721044884,1.0,0.44142376579111803,3.0,0.16742092945502704,2.0,0.529195741799105
0,0.0,0.4393950830133498,1.0,0.15200794420903221,1.0,0.3552360548157144,3.0,0.5496930217045728
