cluster,y_k=2,s_k=2,y_k=3,s_k=3,y_k=4,s_k=4,y_k=5,s_k=5
0,1.0,0.09430731799665214,1.0,0.052821597646703536,2.0,0.07649097609106237,0.0,0.0913730891722008
0,1.0,0.03846222860171539,1.0,0.021099814501011924,2.0,0.014020115170583988,4.0,0.01613167245565884
0,1.0,0.04649155071672141,2.0,0.04529962100130452,3.0,0.003666583371884875,1.0,0.013125145057567096
0,1.0,0.16990725152862254,2.0,0.10170447067186514,3.0,0.11387941814143245,0.0,0.11720380824668937
0,1.0,0.0005115527609484374,1.0,0.11490881064016378,2.0,0.044524307723722005,1.0,0.021767819885461573
0,0.0,0.09182109150809727,1.0,0.03850628970418942,0.0,0.011952998315795138,2.0,0.01563101297800015
0,1.0,0.014083504298135492,2.0,0.024439013702042663,3.0,0.025359416964297388,3.0,0.0059476645820767966
0,1.0,0.1571696706893221,2.0,0.07044035206569321,3.0,0.09650489159312729,0.0,0.031002950656745132
0,1.0,0.15056585878874512,2.0,0.1119504090793535,3.0,0.10174618940254963,0.0,0.06910870618091076
0,1.0,0.037945047692814704,1.0,0.07698494385165952,2.0,0.045457671211222954,2.0,0.021686095986449053
0,0.0,0.014276095357437141,1.0,0.11916901080917944,2.0,0.052537592470368155,2.0,0.06962478480458542
0,1.0,0.09249542168172538,1.0,0.10045647007419496,2.0,0.09924662161267706,0.0,0.02291856658522769
0,1.0,0.12327904087395225,2.0,0.06029822916702629,3.0,0.07323517481222516,0.0,0.010704128849099466
0,1.0,0.14532420424440917,2.0,0.05413675999195336,3.0,0.05769201071641073,0.0,0.13089600998046116
0,1.0,0.10037800849045649,1.0,0.07875085126979955,2.0,0.09828914921950047,0.0,0.07559985788711338
0,1.0,0.13030165074777436,2.0,0.11213478708989827,3.0,0.11511555198754274,4.0,0.056729648975219454
0,1.0,0.004507113738492807,1.0,0.014071879825069916,0.0,0.09373861345901807,3.0,0.07193207044774008
0,1.0,0.1427672557814364,2.0,0.07889731629386232,3.0,0.08999092339254536,0.0,0.06065474683413919
0,0.0,0.017634332602478247,1.0,0.015133537359620712,0.0,0.04785155365357585,3.0,0.0203342769752867
0,1.0,0.10250833605862446,2.0,0.0985036035002362,3.0,0.09389148045456032,4.0,0.02644207597489656
0,1.0,0.07108271351200429,1.0,0.008606923245615945,2.0,0.024808726277790013,0.0,0.06224330022317169
0,1.0,0.06882340170984863,2.0,0.06339905244457959,3.0,0.07610901565321283,4.0,0.07381524296861038
0,1.0,0.09151812965756943,2.0,0.06322912667114287,3.0,0.049574184925934565,4.0,0.01092678271078449
0,0.0,0.0834745514189028,0.0,0.06338482439475158,1.0,0.08727988618753374,1.0,-0.00868343567933373
0,1.0,0.13611761429633218,2.0,0.059622087670270905,3.0,0.06534855059543855,0.0,-0.007845517612667349
0,1.0,0.13563170984205442,2.0,0.062176166076383724,3.0,0.08718463176788596,0.0,0.04558065720851087
0,1.0,0.0831280861066535,2.0,0.09498160857487903,3.0,0.08344728448601221,4.0,0.11876482463988405
0,1.0,0.07461381197871066,2.0,0.019343923429238245,3.0,0.04395166695458587,4.0,0.05381483503025275
0,1.0,0.15747576038374408,2.0,0.06296568279843533,3.0,0.06322182967344309,0.0,0.15672582807184168
0,1.0,0.1060760337203348,2.0,0.1168908143076734,3.0,0.09275387651232579,4.0,0.06441588239044407
0,0.0,0.05546284195404246,0.0,0.08223032215355008,1.0,0.012511389435451773,3.0,0.03584268473628397
0,1.0,0.11457282648086839,2.0,0.07491251464369098,3.0,0.09177402066913491,4.0,0.036453501409687124
0,0.0,0.043289623887822724,0.0,0.03448381992178163,0.0,0.04615212494968351,3.0,0.036848636907197106
0,1.0,0.1623548641284307,2.0,0.02839371664276882,3.0,0.025504956234928825,0.0,0.13927981892479055
0,1.0,0.03503430676320098,2.0,0.027833923042721254,0.0,0.046757982456493076,3.0,0.030200670149503003
