cluster,y_k=2,s_k=2,y_k=3,s_k=3,y_k=4,s_k=4,y_k=5,s_k=5
0,0.0,0.038598540844208405,0.0,0.03288458752409568,2.0,0.034323561238284374,2.0,0.00450442746825648
0,0.0,0.08884014863740833,0.0,0.019549912369937587,2.0,0.06466235800080358,2.0,0.11759172238528792
0,0.0,0.06843616214062855,0.0,0.014615300530104994,3.0,0.031076204015716907,4.0,0.028708061727956848
0,0.0,0.03583988398731578,0.0,0.044038611631061715,2.0,-0.0006872718442896631,3.0,0.08170720995629675
0,1.0,0.062092331593909304,1.0,0.07931209847528951,1.0,0.06123426151305836,4.0,0.019911672029424586
0,0.0,0.015404304252514829,2.0,0.014531802415190453,0.0,0.04517339569453464,1.0,0.02392237022804692
0,1.0,0.07440369674526837,1.0,0.07499268707665448,1.0,0.013056228356800663,1.0,-0.011439381212549171
0,0.0,0.02409929293289847,2.0,0.03629721563138642,2.0,0.004165533302891868,0.0,0.024168595474172466
0,0.0,0.056724310923588775,2.0,0.07874930805508892,2.0,0.048886642488195055,0.0,0.012607950324809578
0,0.0,0.03991316731650405,0.0,0.09366309329969638,3.0,0.03684668225036901,2.0,0.034385713437033165
0,1.0,0.13462182720872573,1.0,0.11980124817461107,0.0,0.037383134141905805,1.0,0.05166933168221388
0,0.0,0.002660956386447615,0.0,0.08937913933303611,3.0,0.05113701948342452,3.0,0.11638554670753122
0,0.0,0.07819471246962491,0.0,0.03387042224116198,2.0,0.0503218715700393,2.0,0.07223813123878
0,0.0,0.07138772299419534,2.0,0.09913191304984474,2.0,0.014072268386712173,0.0,0.023281569959921585
0,1.0,0.04050008328447755,0.0,0.02062293040590753,3.0,0.017708587479139427,4.0,0.09763898115231717
0,0.0,0.11591832007470916,2.0,0.15674501322902523,2.0,0.1450213257856846,2.0,0.1370868303223755
0,0.0,0.06632389249135717,2.0,0.03440689486337483,1.0,0.06894828958136767,4.0,0.06492322615045445
0,0.0,0.09725899196966793,2.0,0.011849536069217405,2.0,-0.00011394698926452739,2.0,0.07457693298109748
0,0.0,0.13861291730310757,2.0,0.03498715578774338,2.0,0.1284692841568285,2.0,0.14031664316787715
0,1.0,0.023130721333742853,1.0,0.06818265968083367,1.0,0.0327516353255555,1.0,0.008570444196835194
0,0.0,0.03372158041069831,2.0,0.031074150248118455,1.0,0.04358211951441501,0.0,0.03627241558474123
0,1.0,0.029649927496603497,1.0,0.056078256315211183,1.0,0.03277561991313689,4.0,0.05398191714848068
0,1.0,0.020357859692386043,1.0,0.02985084770668762,1.0,0.06608520545434551,4.0,0.054020411417266455
0,1.0,0.036374813341568064,1.0,0.05264585318365853,1.0,0.12083571799027522,4.0,0.011191575379674959
0,0.0,0.03248780185027436,0.0,0.05730969900138102,2.0,0.0026521621810726382,3.0,0.012065421744771055
0,1.0,0.03740027424214921,0.0,0.07505797222511064,3.0,0.00894827736490291,3.0,0.10607939254922924
0,1.0,0.03495047426372412,1.0,0.022748709915997988,1.0,0.006235935114905948,1.0,0.02582327697075675
