cluster,y_k=2,s_k=2
0,-1.0,-0.42018592043596764
0,-1.0,-0.23718732235090734
0,1.0,0.2846397165160206
0,-1.0,-0.5585464699285493
0,-1.0,-0.1318646389961241
0,-1.0,-0.34354160132578104
0,-1.0,-0.3689968517157967
0,0.0,0.597961370760275
0,1.0,0.3317958764528015
0,-1.0,-0.47319169855391036
0,-1.0,-0.20177316768911652
0,1.0,0.5346875416491738
0,-1.0,-0.396619898463014
0,-1.0,-0.4294466910989667
0,1.0,0.5568539125096822
0,-1.0,-0.26248233704926294
0,1.0,0.4908996600101947
0,1.0,0.47228404340247965
0,-1.0,-0.17575127122988912
0,-1.0,-0.3564772853982205
0,-1.0,-0.4813965120493567
0,-1.0,-0.3691654664914874
0,-1.0,-0.26448538933623
0,-1.0,-0.22227944190139262
0,-1.0,-0.23230065285234555
0,-1.0,-0.40866869122352584
0,-1.0,-0.3692517062558013
0,-1.0,-0.38440905325309666
0,-1.0,-0.4020780239685126
0,-1.0,-0.3229321224088533
0,1.0,0.47964512874018667
0,-1.0,-0.30791608117551567
0,-1.0,-0.14024382665709362
0,-1.0,-0.2609259071634821
0,-1.0,-0.36750216066115765
0,-1.0,-0.031057915568990346
0,-1.0,-0.444400276130172
0,-1.0,-0.2856547900997178
0,-1.0,-0.3447521090410338
0,-1.0,-0.48812878964200873
0,-1.0,-0.5751635189123347
0,-1.0,-0.31776591650393493
0,-1.0,-0.4243744913343581
0,-1.0,-0.5882000032469702
0,1.0,0.5242597814015909
0,1.0,0.45801817952328416
0,-1.0,-0.4250438145108191
0,-1.0,-0.22124487868225398
0,-1.0,-0.3167887171063144
0,0.0,0.5551908803520833
0,1.0,0.5897013928679345
0,-1.0,-0.571746077111085
0,0.0,0.5008425203216134
0,-1.0,-0.25709531377333567
0,-1.0,-0.3665905741920597
0,-1.0,-0.4518400351210739
0,-1.0,-0.3610426887095807
0,1.0,0.25826944632986426
0,-1.0,-0.3096118214184181
0,-1.0,-0.3582736670953282
0,-1.0,-0.17871485732557807
0,-1.0,-0.11477804196023618
