cluster,y_k=2,s_k=2,y_k=3,s_k=3,y_k=4,s_k=4,y_k=5,s_k=5
0,0.0,0.4158032832157638,2.0,0.49684791845888904,2.0,0.5101458920463295,0.0,0.0196924333381125
0,1.0,0.5844822905159872,1.0,0.6013171163830976,3.0,0.014795519388911762,4.0,-0.0031137835178596898
0,1.0,0.3814831334139073,1.0,0.2882105825775928,3.0,0.5646866167828073,4.0,0.4922664256128277
0,1.0,0.5545696484929459,1.0,0.482549284577419,1.0,0.46224321776249583,3.0,0.47072234494551757
0,0.0,0.3874378119887571,2.0,0.5148840538826658,2.0,0.5257659597118687,0.0,0.1297484376621301
0,1.0,0.23250485057059272,1.0,0.15341206660811965,3.0,0.1691402598244449,4.0,0.06117593969007531
0,1.0,0.517405305837894,1.0,0.5244091926253748,3.0,0.420617530807564,4.0,0.4458579624561527
0,1.0,0.5050538175725796,1.0,0.4879763887534788,3.0,0.5671142631368368,4.0,0.5846665766735603
0,1.0,0.5847204532521996,1.0,0.6132181117227217,3.0,0.23271884478025884,4.0,0.24197070474682755
0,1.0,0.19189705593442574,0.0,0.08296383105928146,3.0,0.38394812212230295,4.0,0.14701658441192794
0,1.0,0.5616282144523531,1.0,0.5880462837552078,3.0,0.32946992912663425,4.0,0.34220787152812854
0,1.0,0.47615377696700845,1.0,0.34067296188643464,1.0,0.3875124409909197,3.0,0.35069081622200127
0,1.0,0.5601968019609739,1.0,0.5654777093192006,1.0,0.147911865835211,3.0,0.18337141897980794
0,1.0,0.4897844834079431,1.0,0.3624504174165515,1.0,0.6009505187431579,3.0,0.6094286684766875
0,0.0,0.05878412623461731,2.0,0.45849664276866203,2.0,0.2486851155773419,0.0,0.39868522230749354
0,0.0,0.4099775974974034,2.0,0.457514191422114,2.0,0.48084282220508906,0.0,0.28256965761374947
0,1.0,0.16617929322174455,0.0,0.12553656462950893,3.0,0.35056831346922696,4.0,0.08707755059838117
0,1.0,0.3891538946821228,1.0,0.29296185835998245,3.0,0.5886269581796517,4.0,0.5117372605876895
0,0.0,0.2583486399947907,2.0,0.5816828239860067,2.0,0.49337359363215055,0.0,0.4523986115950965
0,1.0,0.48676256152729386,1.0,0.48284542621931814,3.0,0.4393461034032939,4.0,0.4617821528778422
0,1.0,0.4711174847366514,1.0,0.44522237255838587,3.0,0.5227512054396263,4.0,0.5361237463797665
0,1.0,0.5734211127311121,1.0,0.5978667505939739,3.0,0.3895306884235986,4.0,0.41347454620296936
0,1.0,0.5961583482810279,1.0,0.5942713678718746,1.0,0.15380625456655334,3.0,0.16969537934503431
0,1.0,0.5226505735605291,1.0,0.5168654072441393,3.0,0.5410098791563974,4.0,0.5614870298943142
0,0.0,0.5454339236627272,0.0,0.4952977594000809,0.0,0.5442953704170393,2.0,0.12018359997557825
0,1.0,0.47082022647934446,1.0,0.3323653536900213,1.0,0.5913858584972388,3.0,0.5840939466593804
0,1.0,0.33638441363439736,1.0,0.1879332397620327,3.0,0.5636756452945727,4.0,0.43420299396456014
0,1.0,0.44565881856656425,1.0,0.278741614479422,1.0,0.3880281691448158,3.0,0.27744365410580163
0,1.0,0.4173733501948804,1.0,0.19754144280346023,1.0,0.5682584155364564,3.0,0.4809177271550761
0,1.0,0.5852043359811635,1.0,0.5623287643739158,1.0,0.2722593287227955,3.0,0.2830096891201178
0,1.0,0.5165306155023717,1.0,0.5121541612581045,3.0,0.5168108206955865,4.0,0.5346581944097475
0,0.0,0.1703649326402114,0.0,0.477903249133411,0.0,0.21949562668870276,1.0,0.5040380019309278
0,0.0,0.18198581830635094,2.0,0.5408632964780143,2.0,0.4086710627635579,0.0,0.4870114976352398
0,1.0,0.4225793842074278,1.0,0.3043846496480721,1.0,0.16048289360443346,3.0,0.10356109816775932
0,0.0,0.4197030319202741,2.0,0.5292718117056854,2.0,0.5445177560044467,0.0,0.10222198074206829
0,0.0,0.20579310161707662,2.0,0.10461430145835858,2.0,0.14803594087551727,0.0,0.19360190513855283
0,0.0,0.16091822604363754,2.0,0.5308438019766021,2.0,0.3863542817726645,0.0,0.4919613131191273
0,1.0,0.42223490566557836,1.0,0.36844579543045725,3.0,0.5268292024451047,4.0,0.532654563145452
0,1.0,0.5339099633898852,1.0,0.5349256655109037,3.0,0.5280857731911981,4.0,0.5485325841168195
0,1.0,0.26034185093335477,1.0,0.12797624251673176,3.0,0.46516551121794586,4.0,0.2953506772527004
0,1.0,0.5717548665343595,1.0,0.5951070577733837,3.0,0.4109198988955262,4.0,0.4326819841476676
0,1.0,0.5563937652842075,1.0,0.5738922359483623,3.0,0.4394583846718087,4.0,0.459225012554158
0,1.0,0.5913664262978623,1.0,0.5785883982481642,1.0,0.22081328580776657,3.0,0.23387799494562309
0,1.0,0.5097733824271828,1.0,0.4939443194524418,3.0,0.572359537211277,4.0,0.5905030348032637
0,1.0,0.07344392061044588,2.0,0.2903506036411564,2.0,0.1357243984596757,0.0,0.41677335229318824
0,1.0,0.3498865356564648,1.0,0.013909904838532711,1.0,0.3799389966804202,3.0,0.07581345718539277
0,0.0,-0.0025924890138576467,2.0,0.45654668820744043,2.0,0.20116274192259537,0.0,0.42431418203352333
0,1.0,0.11759284304333276,2.0,0.37261816266488756,2.0,0.04115406742126492,0.0,0.38217486273619244
0,1.0,0.5725137869709013,1.0,0.5952735901221244,3.0,0.10469518542585415,4.0,0.09571758553834558
0,1.0,0.560435074791813,1.0,0.49453489758831276,1.0,0.5416582259747895,3.0,0.5748263224158836
0,1.0,0.5336523641849026,1.0,0.5492054686430999,3.0,0.38060917160276403,4.0,0.3935748446005341
0,1.0,0.36097399419398163,1.0,0.2374944570638895,3.0,0.5794731454748835,4.0,0.47243235555560753
0,0.0,0.17858536004258413,0.0,0.1736009180384267,0.0,0.08243818460374701,1.0,0.17564772432450607
0,1.0,0.5562524279300676,1.0,0.4876013456718333,1.0,0.44883733727496894,3.0,0.4565385837376935
